,cena,forma_wlasnosci,liczba_pieter,liczba_pokoi,ogrzewanie,okna,pietro,powierzchnia,rodzaj_zabudowy,rok_budowy,rynek,stan_wykonczenia
264,369000.0,1,2.0,3,miejskie,plastikowe,1,62.25,kamienica,,wtorny,
265,334274.0,1,4.0,2,miejskie,plastikowe,4,54.46,apartamentowiec,2020.0,pierwotny,do_wykonczenia
266,245000.0,1,,2,,,parter,41.0,,,wtorny,
267,295000.0,1,,3,,,parter,49.0,,,wtorny,
268,750000.0,1,4.0,2,miejskie,,2,78.0,apartamentowiec,2010.0,wtorny,do_zamieszkania
269,149000.0,1,4.0,2,miejskie,drewniane,4,54.6,,1940.0,wtorny,do_remontu
270,649000.0,0,2.0,3,miejskie,plastikowe,1,92.0,apartamentowiec,1990.0,wtorny,do_zamieszkania
271,325000.0,1,5.0,2,miejskie,plastikowe,3,47.7,apartamentowiec,,pierwotny,do_wykonczenia
272,246632.0,1,3.0,2,,,2,41.34,blok,2020.0,pierwotny,do_wykonczenia
273,182465.0,1,3.0,1,,,1,29.53,blok,2020.0,pierwotny,do_wykonczenia
274,251547.0,1,3.0,2,,,3,41.34,blok,2020.0,pierwotny,do_wykonczenia
275,375000.0,1,18.0,3,miejskie,,&gt;_10,72.0,blok,,wtorny,
276,396000.0,1,3.0,2,gazowe,plastikowe,1,60.0,apartamentowiec,,wtorny,do_zamieszkania
