,cena,cena_za_od,czynsz,dostepne_od,forma_wlasnosci,liczba_kondygnacji,liczba_pieter,liczba_pokoi,material_budynku,metraz_do,metraz_od,ogrzewanie,okna,pietro,powierzchnia,rodzaj_zabudowy,rok_budowy,rynek,stan_inwestycji,stan_wykonczenia,typ_oferowanych_nieruchomosci,url
59,124000.0,,220.0,,pelna_wlasnosc,,2,1,cegla,,,,plastikowe,1,39.0,kamienica,1910,wtorny,,do_zamieszkania,,https://www.otodom.pl/oferta/po-remoncie-idealne-na-start-ID3RbN2.html#d749d73d2a
60,370000.0,,,,,,4,2,,,,,,1,52.0,apartamentowiec,,wtorny,,do_zamieszkania,,https://www.otodom.pl/oferta/bazantowo-do-zamieszkania-taras-25m-widok-na-ogrod-ID3Kl0E.html#d749d73d2a
61,385440.0,,423.0,,pelna_wlasnosc,,14,3,,,,miejskie,plastikowe,7,58.4,blok,1980,wtorny,,,,https://www.otodom.pl/oferta/katowice-tysiaclecie-po-remoncie-od-zaraz-okazja-ID3YyBG.html#7856e860dd
62,315000.0,,,,pelna_wlasnosc,,10,4,,,,,,9,72.12,,,wtorny,,,,https://www.otodom.pl/oferta/wyposazone-m-5-katowice-piotrowice-ID3YyVc.html#7856e860dd
63,336050.0,,480.0,,pelna_wlasnosc,,4,2,inne,,,miejskie,plastikowe,3,47.0,apartamentowiec,2009,wtorny,,do_zamieszkania,,https://www.otodom.pl/oferta/sloneczne-2-pokoje-47mkw-ligota-park-od-zaraz-ID3Yz4A.html#7856e860dd
64,325000.0,,680.0,,spoldzielcze_wl._z_kw,,7,3,wielka_plyta,,,miejskie,plastikowe,7,62.0,blok,1980,wtorny,,do_zamieszkania,,https://www.otodom.pl/oferta/3-pokoje-z-balkonem-panorama-miasta-ID3Yz0s.html#7856e860dd
65,408880.0,,155.0,,pelna_wlasnosc,,8,3,,,,miejskie,,parter,53.8,apartamentowiec,2019,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/ostatnie-17-mieszkan-w-tej-inwestycji-ID3VBRe.html#811ff627c6
66,935000.0,,,,pelna_wlasnosc,,,5,,,,miejskie,,,131.68,apartamentowiec,,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/luksusowy-apartament-dla-wymagajacego-klienta-ID3YySs.html#7856e860dd
67,279000.0,,460.0,,pelna_wlasnosc,,4,4,,,,miejskie,,4,56.0,blok,,wtorny,,do_zamieszkania,,https://www.otodom.pl/oferta/4-pokoje-balkon-katowice-sum-inwestycja-ID3YyPO.html#7856e860dd
68,610100.0,,275.0,,pelna_wlasnosc,,1,4,,,,inne,,1,106.01,,2018,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/duzy-inteligentny-apartament-z-garazem-i-tarasem-ID3VBR2.html#811ff627c6
69,316747.5,,100.0,,pelna_wlasnosc,,8,2,,,,miejskie,,4,40.35,apartamentowiec,2019,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/dzisiaj-kupujesz-klucze-do-mieszkania-odbierasz-ID3VBRa.html#811ff627c6
70,394950.0,,210.0,,pelna_wlasnosc,,5,3,,,,miejskie,,parter,75.0,apartamentowiec,2019,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/nowe-mieszkania-z-tarasami-najtaniej-kostuchna-ID3VDfK.html#811ff627c6
71,301407.0,,120.0,,pelna_wlasnosc,,5,2,,,,miejskie,,5,46.38,apartamentowiec,2019,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/2-pokojowy-apartament-park-slaski-ID3VBR6.html#811ff627c6
72,190000.0,,780.72,,spoldzielcze_wlasnosciowe,,1,3,cegla,,,inne,plastikowe,parter,109.36,kamienica,1919,wtorny,,do_remontu,,https://www.otodom.pl/oferta/przytulne-mieszkanie-w-katowicach-atrakcyjna-cena-ID3VBxu.html#811ff627c6
73,205800.0,,110.0,,pelna_wlasnosc,,10,2,,,,miejskie,,4,37.45,apartamentowiec,2019,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/nowe-zgrabne-2-pokojowe-mieszkanie-ID3VBV8.html#811ff627c6
74,490000.0,,500.0,,spoldzielcze_wl._z_kw,,4,4,,,,elektryczne,plastikowe,2,106.0,blok,2002,wtorny,,do_zamieszkania,,https://www.otodom.pl/oferta/przestronny-4-pokojowy-apartament-w-katowicach-ID3VCIc.html#811ff627c6
75,265000.0,,300.0,,spoldzielcze_wl._z_kw,,3,2,,,,miejskie,plastikowe,1,38.0,apartamentowiec,2016,wtorny,,do_zamieszkania,,https://www.otodom.pl/oferta/mieszkanie-ul-bazantow-katowice-ID3VClm.html#811ff627c6
76,280000.0,,550.0,,pelna_wlasnosc,,2,2,cegla,,,miejskie,plastikowe,2,50.0,blok,,wtorny,,do_remontu,,https://www.otodom.pl/oferta/mieszkanie-50-m-katowice-ID3VDov.html#811ff627c6
77,301600.0,,,,,,10,3,,,,miejskie,plastikowe,5,52.0,apartamentowiec,,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/nowa-inwestycja-mieszkania-na-bazantowie-ID3OfsY.html#811ff627c6
78,243788.0,,,,,,10,2,,,,miejskie,plastikowe,5,41.32,apartamentowiec,,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/nowa-inwestycja-mieszkania-na-bazantowie-ID3Ofwq.html#811ff627c6
79,239076.0,,,,,,10,2,,,,miejskie,plastikowe,5,41.22,apartamentowiec,,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/nowa-inwestycja-mieszkania-na-bazantowie-ID3OfsM.html#811ff627c6
80,217495.0,,120.0,,pelna_wlasnosc,,5,2,,,,miejskie,,parter,43.0,apartamentowiec,2019,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/najtaniej-nowe-mieszkania-kostuchna-ID3VBVk.html#811ff627c6
81,301799.0,,200.0,,pelna_wlasnosc,,5,3,,,,miejskie,,parter,63.0,apartamentowiec,2019,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/nowe-mieszkanie-z-tarasem-najtaniej-kostuchna-ID3VDja.html#811ff627c6
82,369300.0,,5.0,,pelna_wlasnosc,,7,2,,,,miejskie,aluminiowe,3,36.93,apartamentowiec,2021,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/apartament-w-centrum-katowice-ID3V4OI.html#d749d73d2a
83,258448.0,,,,,,10,3,,,,miejskie,plastikowe,5,44.56,apartamentowiec,,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/nowa-inwestycja-mieszkania-na-bazantowie-ID3OfrC.html#811ff627c6
84,341100.0,,5.0,,pelna_wlasnosc,,7,1,,,,miejskie,aluminiowe,2,34.11,apartamentowiec,2021,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/apartament-w-centrum-katowice-ID3V4OA.html#d749d73d2a
85,190205.0,,150.0,,pelna_wlasnosc,,5,2,,,,miejskie,,parter,38.0,apartamentowiec,2019,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/nowe-apartamenty-najtaniej-kostuchna-ID3VDje.html#811ff627c6
86,292784.0,,,,,,10,3,,,,miejskie,plastikowe,5,50.48,apartamentowiec,,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/nowa-inwestycja-mieszkania-na-bazantowie-ID3VDsI.html#811ff627c6
87,296100.0,,,,,,11,3,,,,,,8,63.0,blok,1980,wtorny,,,,https://www.otodom.pl/oferta/mieszkanie-z-garazem-blisko-parku-slaskiego-ID3V5gY.html#d749d73d2a
88,495000.0,,,,pelna_wlasnosc,,4,4,,,,,,2,88.0,,,wtorny,,,,https://www.otodom.pl/oferta/chcesz-zarobicmusisz-to-miec-4-kawalerki-po-remo-ID3V500.html#d749d73d2a
89,328100.0,,5.0,,pelna_wlasnosc,,7,1,,,,miejskie,aluminiowe,2,32.81,apartamentowiec,2021,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/apartament-w-centrum-katowice-ID3V4Za.html#d749d73d2a
90,299000.0,,,,,,10,4,wielka_plyta,,,,plastikowe,3,46.8,blok,1980,wtorny,,,,https://www.otodom.pl/oferta/mieszkanie-46-80-m-katowice-ID3V5wC.html#d749d73d2a
91,214000.0,,,,,,4,2,,,,miejskie,,3,39.0,blok,,wtorny,,do_zamieszkania,,https://www.otodom.pl/oferta/mieszkanie-39-m-katowice-ID3V63S.html#d749d73d2a
92,550000.0,,210.0,,spoldzielcze_wlasnosciowe,,2,4,cegla,,,gazowe,plastikowe,1,93.0,,,wtorny,,,,https://www.otodom.pl/oferta/2-poziomy-panewniki-ul-bojanowskiego-93m2-ogrodek-ID3V5LV.html#d749d73d2a
93,319000.0,,550.0,,pelna_wlasnosc,,4,2,cegla,,,miejskie,plastikowe,1,56.0,blok,1960,wtorny,,do_remontu,,https://www.otodom.pl/oferta/rozkladowe-mieszkanie-katowice-koszutka-56m2-ID3Sa12.html#4ad60757c7
94,289000.0,,560.0,,spoldzielcze_wlasnosciowe,,4,3,,,,miejskie,drewniane,4,55.3,blok,1970,wtorny,,,,https://www.otodom.pl/oferta/3-pokoje-zawodzie-niska-zabudowa-do-wprowadzenia-ID3Yzdi.html#7856e860dd
95,210000.0,,540.0,,spoldzielcze_wlasnosciowe,,4,2,,,,miejskie,,parter,47.3,blok,1980,wtorny,,do_remontu,,https://www.otodom.pl/oferta/super-lokalizacja-ID3YzjS.html#7856e860dd
96,479000.0,,450.0,,pelna_wlasnosc,,4,4,,,,miejskie,plastikowe,4,103.0,blok,1990,wtorny,,do_zamieszkania,,https://www.otodom.pl/oferta/mieszkanie-103-m-katowice-ID3Vpmo.html#48d083e427
97,277500.0,,,,pelna_wlasnosc,,5,2,,,,miejskie,plastikowe,parter,51.5,apartamentowiec,,pierwotny,,,,https://www.otodom.pl/oferta/2pok-z-ogrodem-przy-parku-slaskimgotowe-w-tym-roku-ID3V7k8.html#d749d73d2a
98,413672.0,,,,pelna_wlasnosc,,6,2,inne,,,miejskie,,3,49.84,apartamentowiec,2020,pierwotny,,,,https://www.otodom.pl/oferta/ostatnie-2-pokoje-w-najnowszej-inwestycji-ID3Vr0I.html#48d083e427
99,273540.0,,,,pelna_wlasnosc,,6,1,,,,miejskie,,3,28.2,apartamentowiec,2019,pierwotny,,,,https://www.otodom.pl/oferta/0-modna-okolica-inwestycyjna-kawalerka-w-centrum-ID3Vr0M.html#48d083e427
100,258500.0,,,,pelna_wlasnosc,,5,2,,,,miejskie,plastikowe,2,46.61,,,pierwotny,,,,https://www.otodom.pl/oferta/park-slaki-2pok-kameralny-budynek-0-prowizji-ID3V7k4.html#d749d73d2a
101,344506.5,,,,pelna_wlasnosc,,2,3,pustak,,,,,parter,58.89,blok,,pierwotny,,,,https://www.otodom.pl/oferta/komfortowe-mieszkanie-z-ogrodem-katowice-ID3Rc2k.html#48d083e427
102,369900.0,,,,pelna_wlasnosc,,3,4,,,,miejskie,,1,72.5,blok,,wtorny,,do_zamieszkania,,https://www.otodom.pl/oferta/atrakcyjne-sloneczne-mieszkanie-do-wprowadzenia-ID3V6gU.html#d749d73d2a
103,369300.0,,5.0,,pelna_wlasnosc,,7,2,,,,miejskie,aluminiowe,4,36.93,apartamentowiec,2021,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/apartament-w-centrum-katowice-ID3V4OM.html#d749d73d2a
104,213150.0,,120.0,,pelna_wlasnosc,,10,2,pustak,,,miejskie,,1,36.75,blok,2018,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/nowe-przestronne-mieszkanie-piotrowice-ID3XGmY.html#4ad60757c7
105,264069.0,,,,pelna_wlasnosc,,2,2,,,,,,parter,45.14,blok,,pierwotny,,,,https://www.otodom.pl/oferta/mieszkanie-z-ogrodkiem-w-spokojnej-okolicy-ID3RbZG.html#48d083e427
106,264069.0,,,,pelna_wlasnosc,,2,2,pustak,,,,,parter,45.14,blok,,pierwotny,,,,https://www.otodom.pl/oferta/przestonne-m2-45m2-ogrodek-w-cenie-ID3Rc2A.html#48d083e427
