,cena,forma_wlasnosci,liczba_pieter,liczba_pokoi,okna,powierzchnia,rodzaj_zabudowy,rok_budowy,rynek,stan_wykonczenia,cena_mkw_PLN
340,239000.0,0,1,3,1,60.4,2,3,2,0,3956.953642384106
341,414000.0,1,1,2,1,60.0,1,3,2,0,6900.0
342,129000.0,1,1,2,2,52.0,3,3,2,3,2480.769230769231
343,306280.0,1,2,2,0,40.3,1,1,1,1,7600.000000000001
344,326742.0,1,2,2,0,46.02,1,1,1,1,7099.999999999999
345,613340.0,1,1,4,0,87.62,1,1,1,1,7000.0
346,215000.0,0,1,2,1,39.0,2,3,2,2,5512.820512820513
347,340000.0,1,1,5,0,64.0,2,3,2,3,5312.5
348,246000.0,1,2,2,1,41.22,2,1,1,1,5967.9767103347895
349,199000.0,1,1,2,1,42.18,3,3,2,3,4717.875770507349
350,385000.0,1,3,3,1,58.4,2,3,2,2,6592.465753424658
351,239000.0,1,1,2,1,48.0,2,3,2,3,4979.166666666667
352,267484.0,1,2,3,1,44.67,1,1,1,1,5988.000895455562
353,450000.0,1,1,3,1,63.0,1,2,2,2,7142.857142857143
354,413190.0,1,1,3,1,64.44,1,1,1,1,6412.011173184358
355,295000.0,0,2,3,0,61.07,0,3,2,0,4830.522351400033
356,414758.0,1,1,3,1,71.51,1,1,1,1,5800.0
357,238700.0,1,2,2,1,38.5,1,1,1,1,6200.0
358,556770.0,1,1,3,1,83.1,1,1,1,1,6700.000000000001
359,325000.0,1,1,2,0,47.7,1,1,1,0,6813.417190775681
360,364612.0,1,1,3,0,62.29,2,1,1,1,5853.459624337775
361,226044.0,1,2,2,1,35.88,1,1,1,1,6300.0
362,285000.0,0,1,3,1,59.0,2,3,2,2,4830.5084745762715
363,197000.0,0,1,1,1,30.0,2,2,2,2,6566.666666666667
364,560000.0,1,1,4,0,82.28,1,1,1,1,6806.028196402528
365,271388.0,1,2,3,0,52.5,1,1,1,1,5169.295238095238
366,299900.0,1,2,2,1,41.0,1,1,1,0,7314.634146341464
